Date,gu,dong,Actual,Predicted
2016-03-12,23,158,20500,20065.687507467563
2020-06-13,23,158,39500,38736.833333333336
2019-09-04,23,158,44500,44759.19102528691
2008-04-02,23,158,35400,33728.04823690088
2006-04-22,23,158,14200,13437.583062713182
2019-10-23,23,83,50700,54350.3912698457
2014-11-08,23,158,37800,32463.630151379362
2024-07-06,23,130,58000,58643.578084018176
2016-05-11,23,88,36400,35633.69301910719
2013-02-20,23,158,14500,14966.394339437316
2016-11-15,23,158,26800,26539.34191877861
2009-10-30,23,158,16800,17041.76481321081
2017-07-01,23,88,23700,26419.117362827717
2014-01-20,23,250,25500,26033.800449890605
2011-11-26,23,158,18800,17706.83326741988
2013-12-16,23,158,34464,33551.79370613933
2023-12-07,23,85,11500,11238.627412260266
2017-12-08,23,158,24300,22538.230065311593
2021-07-31,23,130,68000,59363.629368645816
2019-02-01,23,130,65000,62925.63128211304
2019-07-01,23,158,38000,34660.997088411976
2021-10-18,23,158,57500,55751.963584043486
2013-10-17,23,85,13500,14011.937531235495
2016-11-02,23,158,41000,37041.420227920236
2017-02-25,23,130,13000,12381.491370057116
2019-07-20,23,130,50000,51228.98420371962
2009-07-08,23,85,37000,34754.92153180509
2015-08-24,23,83,20000,19551.292836432523
2020-01-04,23,158,47000,49288.47546497639
2007-05-04,23,88,22000,23470.063356617524
2012-01-28,23,158,35300,33577.60325076866
2019-11-29,23,85,29500,28810.2845344587
2021-04-05,23,88,69800,84090.18939393939
2020-01-03,23,250,58100,61906.46815374684
2018-05-14,23,88,23000,24200.734554334555
2022-08-15,23,130,130000,113873.41197174342
2015-09-14,23,83,25000,24946.574074074077
2022-10-24,23,158,38300,38421.88455040762
2017-03-24,23,83,25900,24218.873931623933
2009-08-23,23,85,27500,28959.788269801986
2011-02-26,23,158,18950,17706.83326741988
2023-04-21,23,85,41000,39506.849627134034
2013-05-17,23,158,23000,22392.762727025176
2008-07-01,23,85,19700,17946.597708912715
2006-08-16,23,158,34000,38485.041666666664
2019-10-29,23,85,48000,48069.25722139114
2014-04-18,23,85,42000,45235.920946804246
2006-10-02,23,158,25000,28546.245216509073
2020-01-21,23,130,32250,35501.137682981665
2015-03-31,23,83,27800,30643.873309065162
2024-09-19,23,85,54000,53990.0
2007-11-29,23,158,11970,12079.855987694224
2006-09-22,23,83,17800,17210.91568458209
2013-04-18,23,83,37750,38201.30564510005
2008-01-12,23,88,20700,24848.566629318535
2008-05-29,23,88,26200,24425.73256950141
2016-11-17,23,85,31600,28398.2789923181
2016-05-02,23,158,18000,20026.71528524534
2023-02-04,23,88,66000,90145.55555555556
2006-03-12,23,88,26450,21109.70827223273
2021-01-28,23,88,50000,52374.0453570273
2006-06-22,23,85,18500,20256.77056633064
2018-06-13,23,158,28000,27618.67281971268
2020-02-12,23,85,45300,42319.20911181379
2013-03-15,23,130,36700,39317.88896021363
2024-06-21,23,83,75000,70500.03703703704
2007-07-27,23,88,11500,11479.204950159588
2007-12-24,23,85,10800,10628.611226725343
2010-01-12,23,158,17500,17768.076919024086
2008-03-31,23,88,23000,25732.838229397148
2009-06-08,23,130,36000,33346.41689654166
2016-07-04,23,83,29750,31595.688236854905
2013-01-08,23,83,27000,24857.67125390657
2017-07-05,23,158,42650,41466.324740949574
2019-09-02,23,85,53000,52724.92524817817
2009-09-12,23,85,32400,31273.10413674981
2009-05-02,23,88,53000,47505.64792141893
2006-12-16,23,85,15900,16998.91984178806
2011-10-11,23,158,30000,29336.695239169214
2009-08-25,23,130,30000,28517.206775019233
2014-10-08,23,158,33800,33551.79370613933
2020-09-02,23,88,66300,71472.38846967947
2006-09-26,23,88,22800,20477.029844423327
2015-11-23,23,158,33700,29885.609634771925
2007-12-15,23,130,27000,25951.355933248633
2012-08-18,23,88,54000,49557.34079400971
2017-06-20,23,158,25000,34646.27739938099
2020-03-10,23,88,67800,61774.08298040492
2008-07-09,23,83,19000,17515.563776059596
2014-10-31,23,158,23000,23007.147693482595
2018-03-27,23,158,28400,27290.08061002179
2006-09-12,23,88,48000,54652.4844720497
2016-11-26,23,158,44500,42819.62316824826
